latitude,longitude,elevation_m,elevation_ft
44.743746652,-93.378411365,279.782,917.920
44.743746652,-93.378352785,279.647,917.477
44.743746652,-93.378294206,279.516,917.046
44.743746652,-93.378235626,279.407,916.689
44.743746652,-93.378177047,279.301,916.341
44.743746652,-93.378118467,279.193,915.988
44.743746652,-93.378059888,279.089,915.647
44.743746652,-93.378001308,278.983,915.300
44.743746652,-93.377942728,278.858,914.889
44.743746652,-93.377884149,278.780,914.632
44.743746652,-93.377825569,278.738,914.496
44.743746652,-93.377766990,278.791,914.667
44.743746652,-93.377708410,278.855,914.879
44.743746652,-93.377649831,278.934,915.139
44.743746652,-93.377591251,279.006,915.375
44.743746652,-93.377532672,279.067,915.575
44.743746652,-93.377474092,279.099,915.679
44.743746652,-93.377415513,279.150,915.846
44.743746652,-93.377356933,279.206,916.031
44.743746652,-93.377298354,279.199,916.006
44.743746652,-93.377239774,279.191,915.980
44.743746652,-93.377181195,279.182,915.952
44.743746652,-93.377122615,279.174,915.925
44.743746652,-93.377064036,279.166,915.898
44.743746652,-93.377005456,279.158,915.871
44.743746652,-93.376946877,279.150,915.847
44.743746652,-93.376888297,279.143,915.823
44.743746652,-93.376829718,279.135,915.798
44.743746652,-93.376771138,279.128,915.773
44.743746652,-93.376712559,279.120,915.747
44.743746652,-93.376653979,279.111,915.719
44.743746652,-93.376595400,279.103,915.692
44.743746652,-93.376536820,279.095,915.664
44.743746652,-93.376478240,279.086,915.637
44.743746652,-93.376419661,279.078,915.610
44.743787712,-93.378411365,279.758,917.842
44.743787712,-93.378352785,279.630,917.420
44.743787712,-93.378294206,279.504,917.008
44.743787712,-93.378235626,279.394,916.646
44.743787712,-93.378177047,279.285,916.290
44.743787712,-93.378118467,279.176,915.933
44.743787712,-93.378059888,279.066,915.572
44.743787712,-93.378001308,278.955,915.206
44.743787712,-93.377942728,278.835,914.812
44.743787712,-93.377884149,278.757,914.558
44.743787712,-93.377825569,278.715,914.418
44.743787712,-93.377766990,278.777,914.623
44.743787712,-93.377708410,278.850,914.862
44.743787712,-93.377649831,278.935,915.140
44.743787712,-93.377591251,279.007,915.377
44.743787712,-93.377532672,279.071,915.587
44.743787712,-93.377474092,279.116,915.736
